name,developer,publisher,popular_tags,game_details,genre,ID,genre_publisher_developer,genre_popular_tags_developer,genre_popular_tags_game_details,genre_publisher_developer_game_details
Counter-Strike: Source,Valve,"Valve,Valve","Shooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,e-sports,Military,War,Strategy,Moddable,Difficult,Singleplayer,Atmospheric,Survival,Simulation,Sandbox","Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK",Action,counterstrikesource,"ActionValve,ValveValve","ActionShooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,e-sports,Military,War,Strategy,Moddable,Difficult,Singleplayer,Atmospheric,Survival,Simulation,SandboxValve","ActionShooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,e-sports,Military,War,Strategy,Moddable,Difficult,Singleplayer,Atmospheric,Survival,Simulation,SandboxMulti-player,Cross-Platform Multiplayer,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK","ActionValve,ValveValveMulti-player,Cross-Platform Multiplayer,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK"
The Evil Within,Tango Gameworks,"Bethesda Softworks,Bethesda Softworks","Horror,Survival Horror,Psychological Horror,Gore,Atmospheric,Action,Singleplayer,Third Person,Survival,Zombies,Dark,Stealth,Adventure,Third-Person Shooter,Difficult,Cinematic,Shooter,Story Rich,Masterpiece,Walking Simulator","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud",Action,theevilwithin,"ActionBethesda Softworks,Bethesda SoftworksTango Gameworks","ActionHorror,Survival Horror,Psychological Horror,Gore,Atmospheric,Action,Singleplayer,Third Person,Survival,Zombies,Dark,Stealth,Adventure,Third-Person Shooter,Difficult,Cinematic,Shooter,Story Rich,Masterpiece,Walking SimulatorTango Gameworks","ActionHorror,Survival Horror,Psychological Horror,Gore,Atmospheric,Action,Singleplayer,Third Person,Survival,Zombies,Dark,Stealth,Adventure,Third-Person Shooter,Difficult,Cinematic,Shooter,Story Rich,Masterpiece,Walking SimulatorSingle-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud","ActionBethesda Softworks,Bethesda SoftworksTango GameworksSingle-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud"
The Jackbox Party Pack 2,"Jackbox Games, Inc.","Jackbox Games, Inc.,Jackbox Games, Inc.","Local Multiplayer,Casual,Comedy,Indie,Local Co-Op,Strategy,Funny,Multiplayer,Board Game,Co-op,Family Friendly","Single-player,Local Multi-Player,Local Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Casual,Indie,Strategy",thejackboxpartypack2,"Casual,Indie,StrategyJackbox Games, Inc.,Jackbox Games, Inc.Jackbox Games, Inc.","Casual,Indie,StrategyLocal Multiplayer,Casual,Comedy,Indie,Local Co-Op,Strategy,Funny,Multiplayer,Board Game,Co-op,Family FriendlyJackbox Games, Inc.","Casual,Indie,StrategyLocal Multiplayer,Casual,Comedy,Indie,Local Co-Op,Strategy,Funny,Multiplayer,Board Game,Co-op,Family FriendlySingle-player,Local Multi-Player,Local Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Casual,Indie,StrategyJackbox Games, Inc.,Jackbox Games, Inc.Jackbox Games, Inc.Single-player,Local Multi-Player,Local Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
RUNNING WITH RIFLES,Osumia Games,"Osumia Games,Osumia Games","Action,Tactical,Shooter,Top-Down,Multiplayer,Co-op,War,Open World,Military,Indie,Strategy,Singleplayer,Sandbox,RPG,RTS,Simulation,Massively Multiplayer,Survival,Isometric,Adventure","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop","Action,Indie",runningwithrifles,"Action,IndieOsumia Games,Osumia GamesOsumia Games","Action,IndieAction,Tactical,Shooter,Top-Down,Multiplayer,Co-op,War,Open World,Military,Indie,Strategy,Singleplayer,Sandbox,RPG,RTS,Simulation,Massively Multiplayer,Survival,Isometric,AdventureOsumia Games","Action,IndieAction,Tactical,Shooter,Top-Down,Multiplayer,Co-op,War,Open World,Military,Indie,Strategy,Singleplayer,Sandbox,RPG,RTS,Simulation,Massively Multiplayer,Survival,Isometric,AdventureSingle-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop","Action,IndieOsumia Games,Osumia GamesOsumia GamesSingle-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop"
The Lord of the Rings Online™,"Standing Stone Games, LLC","Standing Stone Games, LLC,Standing Stone Games, LLC","Free to Play,MMORPG,Massively Multiplayer,Fantasy,RPG,Open World,Adventure,Multiplayer,Based On A Novel,Action,Exploration,Character Customization,Story Rich,Co-op,Online Co-Op,Third Person,Survival,PvP,Singleplayer,Dark Fantasy",MMO,"Free to Play,Massively Multiplayer,RPG",thelordoftheringsonline,"Free to Play,Massively Multiplayer,RPGStanding Stone Games, LLC,Standing Stone Games, LLCStanding Stone Games, LLC","Free to Play,Massively Multiplayer,RPGFree to Play,MMORPG,Massively Multiplayer,Fantasy,RPG,Open World,Adventure,Multiplayer,Based On A Novel,Action,Exploration,Character Customization,Story Rich,Co-op,Online Co-Op,Third Person,Survival,PvP,Singleplayer,Dark FantasyStanding Stone Games, LLC","Free to Play,Massively Multiplayer,RPGFree to Play,MMORPG,Massively Multiplayer,Fantasy,RPG,Open World,Adventure,Multiplayer,Based On A Novel,Action,Exploration,Character Customization,Story Rich,Co-op,Online Co-Op,Third Person,Survival,PvP,Singleplayer,Dark FantasyMMO","Free to Play,Massively Multiplayer,RPGStanding Stone Games, LLC,Standing Stone Games, LLCStanding Stone Games, LLCMMO"
Pillars of Eternity,Obsidian Entertainment,"Paradox Interactive,Paradox Interactive","RPG,Fantasy,Isometric,Story Rich,Singleplayer,CRPG,Party-Based RPG,Real-Time with Pause,Adventure,Kickstarter,Atmospheric,Dark Fantasy,Open World,Exploration,Character Customization,Classic,Strategy,Great Soundtrack,Indie,Crowdfunded","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Commentary available",RPG,pillarsofeternity,"RPGParadox Interactive,Paradox InteractiveObsidian Entertainment","RPGRPG,Fantasy,Isometric,Story Rich,Singleplayer,CRPG,Party-Based RPG,Real-Time with Pause,Adventure,Kickstarter,Atmospheric,Dark Fantasy,Open World,Exploration,Character Customization,Classic,Strategy,Great Soundtrack,Indie,CrowdfundedObsidian Entertainment","RPGRPG,Fantasy,Isometric,Story Rich,Singleplayer,CRPG,Party-Based RPG,Real-Time with Pause,Adventure,Kickstarter,Atmospheric,Dark Fantasy,Open World,Exploration,Character Customization,Classic,Strategy,Great Soundtrack,Indie,CrowdfundedSingle-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Commentary available","RPGParadox Interactive,Paradox InteractiveObsidian EntertainmentSingle-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Commentary available"
Gang Beasts,Boneloaf,"Double Fine Presents,Double Fine Presents","Funny,Multiplayer,Fighting,Local Multiplayer,Comedy,Physics,Action,Beat 'em up,Co-op,4 Player Local,Colorful,Third Person,Early Access,Indie,Casual,Singleplayer,Adventure,Great Soundtrack,Sandbox,Simulation","Multi-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support","Action,Adventure,Casual,Indie",gangbeasts,"Action,Adventure,Casual,IndieDouble Fine Presents,Double Fine PresentsBoneloaf","Action,Adventure,Casual,IndieFunny,Multiplayer,Fighting,Local Multiplayer,Comedy,Physics,Action,Beat 'em up,Co-op,4 Player Local,Colorful,Third Person,Early Access,Indie,Casual,Singleplayer,Adventure,Great Soundtrack,Sandbox,SimulationBoneloaf","Action,Adventure,Casual,IndieFunny,Multiplayer,Fighting,Local Multiplayer,Comedy,Physics,Action,Beat 'em up,Co-op,4 Player Local,Colorful,Third Person,Early Access,Indie,Casual,Singleplayer,Adventure,Great Soundtrack,Sandbox,SimulationMulti-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support","Action,Adventure,Casual,IndieDouble Fine Presents,Double Fine PresentsBoneloafMulti-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support"
Castle Crashers®,The Behemoth,"The Behemoth,The Behemoth","Co-op,Action,Multiplayer,Adventure,Local Co-Op,Funny,Beat 'em up,Online Co-Op,Indie,Comedy,Hack and Slash,2D,RPG,Local Multiplayer,Controller,Casual,Great Soundtrack,Fantasy,Side Scroller,Action RPG","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure,Casual,Indie,RPG",castlecrashers,"Action,Adventure,Casual,Indie,RPGThe Behemoth,The BehemothThe Behemoth","Action,Adventure,Casual,Indie,RPGCo-op,Action,Multiplayer,Adventure,Local Co-Op,Funny,Beat 'em up,Online Co-Op,Indie,Comedy,Hack and Slash,2D,RPG,Local Multiplayer,Controller,Casual,Great Soundtrack,Fantasy,Side Scroller,Action RPGThe Behemoth","Action,Adventure,Casual,Indie,RPGCo-op,Action,Multiplayer,Adventure,Local Co-Op,Funny,Beat 'em up,Online Co-Op,Indie,Comedy,Hack and Slash,2D,RPG,Local Multiplayer,Controller,Casual,Great Soundtrack,Fantasy,Side Scroller,Action RPGSingle-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure,Casual,Indie,RPGThe Behemoth,The BehemothThe BehemothSingle-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards"
Keep Talking and Nobody Explodes,Steel Crate Games,"Steel Crate Games,Steel Crate Games","Co-op,Puzzle,Local Co-Op,VR,Multiplayer,Indie,Difficult,Local Multiplayer,Team-Based,Family Friendly,First-Person,Fast-Paced,Funny,Simulation,Action,Atmospheric,Strategy,Asymmetric VR,Psychological Horror,Great Soundtrack","Local Multi-Player,Co-op,Local Co-op,Steam Achievements,Full controller support,Steam Workshop,Stats,Steam Leaderboards",Indie,keeptalkingandnobodyexplodes,"IndieSteel Crate Games,Steel Crate GamesSteel Crate Games","IndieCo-op,Puzzle,Local Co-Op,VR,Multiplayer,Indie,Difficult,Local Multiplayer,Team-Based,Family Friendly,First-Person,Fast-Paced,Funny,Simulation,Action,Atmospheric,Strategy,Asymmetric VR,Psychological Horror,Great SoundtrackSteel Crate Games","IndieCo-op,Puzzle,Local Co-Op,VR,Multiplayer,Indie,Difficult,Local Multiplayer,Team-Based,Family Friendly,First-Person,Fast-Paced,Funny,Simulation,Action,Atmospheric,Strategy,Asymmetric VR,Psychological Horror,Great SoundtrackLocal Multi-Player,Co-op,Local Co-op,Steam Achievements,Full controller support,Steam Workshop,Stats,Steam Leaderboards","IndieSteel Crate Games,Steel Crate GamesSteel Crate GamesLocal Multi-Player,Co-op,Local Co-op,Steam Achievements,Full controller support,Steam Workshop,Stats,Steam Leaderboards"
SPORE™,Maxis™,"Electronic Arts,Electronic Arts","Simulation,Sandbox,Open World,Exploration,Space,Adventure,God Game,Singleplayer,Aliens,Strategy,Sci-fi,Funny,Science,Family Friendly,Multiplayer,Action,RPG,Casual,Comedy,RTS",Single-player,Simulation,spore,"SimulationElectronic Arts,Electronic ArtsMaxis™","SimulationSimulation,Sandbox,Open World,Exploration,Space,Adventure,God Game,Singleplayer,Aliens,Strategy,Sci-fi,Funny,Science,Family Friendly,Multiplayer,Action,RPG,Casual,Comedy,RTSMaxis™","SimulationSimulation,Sandbox,Open World,Exploration,Space,Adventure,God Game,Singleplayer,Aliens,Strategy,Sci-fi,Funny,Science,Family Friendly,Multiplayer,Action,RPG,Casual,Comedy,RTSSingle-player","SimulationElectronic Arts,Electronic ArtsMaxis™Single-player"
Fishing Planet,Fishing Planet LLC,"Fishing Planet LLC,Fishing Planet LLC","Fishing,Free to Play,Simulation,Multiplayer,Sports,Relaxing,Realistic,Massively Multiplayer,First-Person,Co-op,Early Access,Open World,Singleplayer,Online Co-Op,Family Friendly,Casual,Adventure,FPS,Action,MMORPG","Single-player,Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Full controller support","Free to Play,Massively Multiplayer,Simulation,Sports",fishingplanet,"Free to Play,Massively Multiplayer,Simulation,SportsFishing Planet LLC,Fishing Planet LLCFishing Planet LLC","Free to Play,Massively Multiplayer,Simulation,SportsFishing,Free to Play,Simulation,Multiplayer,Sports,Relaxing,Realistic,Massively Multiplayer,First-Person,Co-op,Early Access,Open World,Singleplayer,Online Co-Op,Family Friendly,Casual,Adventure,FPS,Action,MMORPGFishing Planet LLC","Free to Play,Massively Multiplayer,Simulation,SportsFishing,Free to Play,Simulation,Multiplayer,Sports,Relaxing,Realistic,Massively Multiplayer,First-Person,Co-op,Early Access,Open World,Singleplayer,Online Co-Op,Family Friendly,Casual,Adventure,FPS,Action,MMORPGSingle-player,Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Full controller support","Free to Play,Massively Multiplayer,Simulation,SportsFishing Planet LLC,Fishing Planet LLCFishing Planet LLCSingle-player,Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Full controller support"
Just Cause™ 3,Avalanche Studios,"Square Enix,Square Enix","Open World,Action,Destruction,Third-Person Shooter,Adventure,Singleplayer,Shooter,Multiplayer,Third Person,Sandbox,Exploration,Physics,Funny,Atmospheric,Comedy,Parkour,Great Soundtrack,Co-op,Moddable,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Action,Adventure",justcause3,"Action,AdventureSquare Enix,Square EnixAvalanche Studios","Action,AdventureOpen World,Action,Destruction,Third-Person Shooter,Adventure,Singleplayer,Shooter,Multiplayer,Third Person,Sandbox,Exploration,Physics,Funny,Atmospheric,Comedy,Parkour,Great Soundtrack,Co-op,Moddable,RPGAvalanche Studios","Action,AdventureOpen World,Action,Destruction,Third-Person Shooter,Adventure,Singleplayer,Shooter,Multiplayer,Third Person,Sandbox,Exploration,Physics,Funny,Atmospheric,Comedy,Parkour,Great Soundtrack,Co-op,Moddable,RPGSingle-player,Steam Achievements,Full controller support,Steam Trading Cards","Action,AdventureSquare Enix,Square EnixAvalanche StudiosSingle-player,Steam Achievements,Full controller support,Steam Trading Cards"
